Occupations,noc_5,TOTAL_WITH_EMP_INC,AVG_EMP_INC,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
00018 Seniors managers - public and private sector,00018,15030,90396.3406520293,6.5700128356,4.128924831,0.7198175926,Seniors managers - public and private sector,High Exposure,High Complementarity,HE-HC,Senior managers
10010 Financial managers,10010,2735,74112.2486288848,6.647188027,4.664204772,0.646759259,Financial managers,High Exposure,High Complementarity,HE-HC,
10011 Human resources managers,10011,2090,74033.014354067,6.62976422,4.44562523,0.677777778,Human resources managers,High Exposure,High Complementarity,HE-HC,
10012 Purchasing managers,10012,210,88523.8095238095,6.687508505,4.779745588,0.633611111,Purchasing managers,High Exposure,High Complementarity,HE-HC,
10019 Other administrative services managers,10019,525,33869.5238095238,6.524487672,4.826234238,0.608888889,Other administrative services managers,High Exposure,Low Complementarity,HE-LC,Administrative services managers
"10021 Banking, credit and other investment managers",10021,195,49435.8974358974,6.672870348,4.688521475,0.645694444,"Banking, credit and other investment managers",High Exposure,High Complementarity,HE-HC,
"10022 Advertising, marketing and public relations managers",10022,4000,69903.75,6.629146986,4.878815906,0.612555556,"Advertising, marketing and public relations managers",High Exposure,Low Complementarity,HE-LC,
10029 Other business services managers,10029,430,49151.1627906977,6.478557879,4.484214383,0.65712963,Other business services managers,High Exposure,High Complementarity,HE-HC,
11100 Financial auditors and accountants,11100,2840,68086.6197183099,6.705747841,5.206268115,0.571944444,Financial auditors and accountants,High Exposure,Low Complementarity,HE-LC,
11101 Financial and investment analysts,11101,500,60780,6.656898,0.858514833,0.6335,Financial and investment analysts,High Exposure,High Complementarity,HE-HC,
11102 Financial advisors,11102,280,50696.4285714286,6.679859123,5.284510773,0.557222222,Financial advisors,High Exposure,Low Complementarity,HE-LC,
11109 Other financial officers,11109,140,65428.5714285714,6.650237614,5.107442807,0.580388889,Other financial officers,High Exposure,Low Complementarity,HE-LC,
11200 Human resources professionals,11200,3480,56556.7528735632,6.649056518,4.873566936,0.615509259,Human resources professionals,High Exposure,High Complementarity,HE-HC,
11201 Professional occupations in business management consulting,11201,1205,52481.3278008299,6.559356224,5.002595668,0.585555556,Professional occupations in business management consulting,High Exposure,Low Complementarity,HE-LC,
"11202 Professional occupations in advertising, marketing and public relations",11202,11805,49976.1033460398,6.630252091,5.000096998,0.594375,"Professional occupations in advertising, marketing and public relations",High Exposure,Low Complementarity,HE-LC,
"12010 Supervisors, general office and administrative support workers",12010,810,49992.5925925926,6.502773276,4.952945645,0.586666667,"Supervisors, general office and administrative support workers",High Exposure,Low Complementarity,HE-LC,
"12011 Supervisors, finance and insurance office workers",12011,195,,6.502773276,4.952945645,0.586666667,"Supervisors, finance and insurance office workers",High Exposure,Low Complementarity,HE-LC,
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",12013,195,51128.2051282051,6.589553917,4.45992542,0.671666667,"Supervisors, supply chain, tracking and scheduling coordination occupations",High Exposure,High Complementarity,HE-HC,
12100 Executive assistants,12100,2865,51032.1116928447,6.521234315,5.528557536,0.500555556,Executive assistants,High Exposure,Low Complementarity,HE-LC,
12101 Human resources and recruitment officers,12101,1245,49734.9397590362,6.647628811,4.675498931,0.645,Human resources and recruitment officers,High Exposure,High Complementarity,HE-HC,
12102 Procurement and purchasing agents and officers,12102,560,56937.5,6.547963885,4.678887196,0.634166667,Procurement and purchasing agents and officers,High Exposure,High Complementarity,HE-HC,
12103 Conference and event planners,12103,2535,38431.9526627219,6.203170865,4.125108625,0.683333333,Conference and event planners,High Exposure,High Complementarity,HE-HC,
12104 Employment insurance and revenue officers,12104,10,16000,6.450139253,5.332483813,0.522962963,Employment insurance and revenue officers,High Exposure,Low Complementarity,HE-LC,
"12110 Court reporters, medical transcriptionists and related occupations",12110,105,35428.5714285714,6.392244358,5.118764019,0.547361111,"Court reporters, medical transcriptionists and related occupations",High Exposure,Low Complementarity,HE-LC,
12111 Health information management occupations,12111,405,53995.0617283951,6.444289961,4.754777585,0.612592593,Health information management occupations,High Exposure,Low Complementarity,HE-LC,
12112 Records management technicians,12112,80,45250,6.187362697,5.333191946,0.483888889,Records management technicians,High Exposure,Low Complementarity,HE-LC,
12113 Statistical officers and related research support occupations,12113,190,37578.9473684211,6.640630651,5.407139697,0.533981481,Statistical officers and related research support occupations,High Exposure,Low Complementarity,HE-LC,
12200 Accounting technicians and bookkeepers,12200,3040,37202.1381578947,6.503251614,5.437440933,0.512222222,Accounting technicians and bookkeepers,High Exposure,Low Complementarity,HE-LC,Accounting technicians
12201 Insurance adjusters and claims examiners,12201,45,42000,6.474649483,5.14458982,0.55375,Insurance adjusters and claims examiners,High Exposure,Low Complementarity,HE-LC,
