DWA_ID,pct,global_2026_pct,pct_automation,pct_augmentation,pct_other,Task_Name,IWA_ID_dup,AIOE,i.Task_Name,DWA_ID_dup,V1,V2,V3,action,percent_pct,percent_pct_2026,percent_V1,percent_aioe,Community,Nonprofit
4.A.1.a.1.I01.D01,0.00934640871948038,0.00643012669566876,0.00369748037254169,0.00421101931317248,0.00143790903376621,Review art or design materials.,4.A.1.a.1.I01.D01,6.35713534673719,Review art or design materials.,4.A.1.a.1.I01.D01,3.416,Review art or design materials.,4.A.1.a.1.I01.D01,Review,0.365810451727192,0.369353410097431,0.340124003542958,0.478299379982285,Not Community,Others
4.A.1.a.1.I01.D02,0.00215686355064932,0.00277160633433998,0,0,0.00215686355064932,Study details of musical compositions.,4.A.1.a.1.I01.D02,6.37842120455716,Study details of musical compositions.,4.A.1.a.1.I01.D02,3.217,Study details of musical compositions.,4.A.1.a.1.I01.D02,Study,0.0965456155890168,0.255093002657219,0.151461470327724,0.512843224092117,Not Community,Others
4.A.1.a.1.I01.D03,0.0324556610478659,0.00631926244229516,0.0083193308382188,0.00801120747384033,0.0161251227358068,Review production information to determine costume or makeup requirements.,4.A.1.a.1.I01.D03,5.79154344817654,Review production information to determine costume or makeup requirements.,4.A.1.a.1.I01.D03,3.112,Review production information to determine costume or makeup requirements.,4.A.1.a.1.I01.D03,Review,0.656333038086802,0.364924712134632,0.0868024800708592,0.135518157661648,Not Community,Others
4.A.1.a.1.I01.D04,0.0926424248897945,0.0837025112970674,0.0404668685217063,0.0249579925146564,0.0272175638534319,Study scripts to determine project requirements.,4.A.1.a.1.I01.D04,6.18548457600088,Study scripts to determine project requirements.,4.A.1.a.1.I01.D04,3.20933333333333,Study scripts to determine project requirements.,4.A.1.a.1.I01.D04,Study,0.828166519043401,0.819309123117803,0.146147032772365,0.319751992914083,Not Community,Others
4.A.1.a.1.I02.D01,0.00492997383005559,0,0.00205415576252316,0.001951447974397,0.000924370093135422,Read materials to determine needed actions.,4.A.1.a.1.I02.D01,6.44298022031485,Read materials to determine needed actions.,4.A.1.a.1.I02.D01,3.22166666666667,Read materials to determine needed actions.,4.A.1.a.1.I02.D01,Read,0.238263950398583,0.163861824623561,0.154118689105403,0.627989371124889,Not Community,Others
4.A.1.a.1.I02.D02,0.0183846940745823,0.0206207511274895,0.00626517507569564,0.00996265544823733,0.00215686355064932,Read maps to determine routes.,4.A.1.a.1.I02.D02,5.71735806257407,Read maps to determine routes.,4.A.1.a.1.I02.D02,3.9225,Read maps to determine routes.,4.A.1.a.1.I02.D02,Read,0.544729849424269,0.579273693534101,0.890168290522586,0.0965456155890168,Not Community,Others
4.A.1.a.1.I02.D04,0.00688142180445259,0.00254987782759278,0,0,0.00688142180445259,Read work orders or other instructions to determine product specifications or materials requirements.,4.A.1.a.1.I02.D04,5.67178442056498,Read work orders or other instructions to determine product specifications or materials requirements.,4.A.1.a.1.I02.D04,3.72014285714286,Read work orders or other instructions to determine product specifications or materials requirements.,4.A.1.a.1.I02.D04,Read,0.310894596988485,0.240921169176262,0.744906997342781,0.0620017714791851,Not Community,Others
4.A.1.a.1.I02.D05,0.0784687501283847,0.0314854479581022,0.0118113956345082,0.0460130890805188,0.0206442654133578,Read technical information needed to perform maintenance or repairs.,4.A.1.a.1.I02.D05,5.75020750416826,Read technical information needed to perform maintenance or repairs.,4.A.1.a.1.I02.D05,3.6894,Read technical information needed to perform maintenance or repairs.,4.A.1.a.1.I02.D05,Read,0.801594331266608,0.670504871567759,0.705048715677591,0.115146147032772,Not Community,Others
4.A.1.a.1.I02.D06,0.00647059065194796,0.00166296380060399,0.00164332461001853,0.00164332461001853,0.0031839414319109,Study blueprints or other instructions to determine equipment setup requirements.,4.A.1.a.1.I02.D06,5.66017635529623,Study blueprints or other instructions to determine equipment setup requirements.,4.A.1.a.1.I02.D06,3.735,Study blueprints or other instructions to determine equipment setup requirements.,4.A.1.a.1.I02.D06,Study,0.297608503100089,0.174490699734278,0.764393268379097,0.0531443755535872,Not Community,Others
4.A.1.a.1.I02.D07,0.840868661388856,0.749996674072399,0.383819004227453,0.429113138791088,0.027936518370315,Read documents to gather technical information.,4.A.1.a.1.I02.D07,6.43354653704018,Read documents to gather technical information.,4.A.1.a.1.I02.D07,3.6335,Read documents to gather technical information.,4.A.1.a.1.I02.D07,Read,0.981399468556245,0.976085031000886,0.638618246235607,0.611160318866253,Not Community,Others
4.A.1.a.1.I02.D08,0.0238282068452687,0.00909086877663514,0.00267040249128011,0.0107843177532466,0.010373486600742,Review technical documents to plan work.,4.A.1.a.1.I02.D08,6.33413620836733,Review technical documents to plan work.,4.A.1.a.1.I02.D08,3.73571428571429,Review technical documents to plan work.,4.A.1.a.1.I02.D08,Review,0.602302922940655,0.427812223206377,0.767050487156776,0.449069973427812,Not Community,Others
4.A.1.a.1.I02.D09,0.0554622055881253,0.0272726063299054,0.0115032722701297,0.0261904859721703,0.0177684473458253,Review blueprints or specifications to determine work requirements.,4.A.1.a.1.I02.D09,5.47101576849565,Review blueprints or specifications to determine work requirements.,4.A.1.a.1.I02.D09,3.53616279069767,Review blueprints or specifications to determine work requirements.,4.A.1.a.1.I02.D09,Review,0.747564216120461,0.635961027457927,0.514614703277236,0.012400354295837,Not Community,Others
4.A.1.a.1.I02.D11,0.0127357657276436,0.00776049773615195,0,0,0.0127357657276436,Review blueprints or other instructions to determine operational methods or sequences.,4.A.1.a.1.I02.D11,5.66291368595433,Review blueprints or other instructions to determine operational methods or sequences.,4.A.1.a.1.I02.D11,3.72630769230769,Review blueprints or other instructions to determine operational methods or sequences.,4.A.1.a.1.I02.D11,Review,0.454384410983171,0.398582816651904,0.75199291408326,0.054030115146147,Not Community,Others
4.A.1.a.1.I02.D14,0.0468347513855281,0.0225054434348406,0.00801120747384033,0.0322502454716136,0.00657329844007411,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",4.A.1.a.1.I02.D14,5.7265858380894,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",4.A.1.a.1.I02.D14,3.72678571428571,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",4.A.1.a.1.I02.D14,Interpret,0.722763507528787,0.599645704162976,0.752878653675819,0.105403011514615,Not Community,Others
4.A.1.a.1.I02.D15,0.00174603239814469,0,0,0,0.00174603239814469,Review details of technical drawings or specifications.,4.A.1.a.1.I02.D15,6.44605091609246,Review details of technical drawings or specifications.,4.A.1.a.1.I02.D15,3.518125,Review details of technical drawings or specifications.,4.A.1.a.1.I02.D15,Review,0.0531443755535872,0.163861824623561,0.477413640389726,0.633303808680248,Not Community,Others
4.A.1.a.1.I03.D04,0.0197198953202223,0.0121950678710959,0.00503268161818174,0.00852474641447112,0.00616246728756948,Investigate legal issues.,4.A.1.a.1.I03.D04,6.51310248811298,Investigate legal issues.,4.A.1.a.1.I03.D04,3.49609375,Investigate legal issues.,4.A.1.a.1.I03.D04,Investigate,0.568644818423384,0.483613817537644,0.441098317094774,0.742249778565102,Community,Nonprofit
4.A.1.a.1.I03.D05,0.0302987974972166,0.0217293936612255,0.00924370093135422,0.00390289594879401,0.0171522006170684,Examine records or other types of data to investigate criminal activities.,4.A.1.a.1.I03.D05,6.40773432343107,Examine records or other types of data to investigate criminal activities.,4.A.1.a.1.I03.D05,3.91583333333333,Examine records or other types of data to investigate criminal activities.,4.A.1.a.1.I03.D05,Examine,0.644818423383525,0.592559787422498,0.887511071744907,0.566873339238264,Not Community,Others
